name	category	price	rating	url	description
Раскраски детские, в дорогу, набор, 6 шт. по 20 стр.	Детские книги	199	4.9	https://www.sima-land.ru/4468832/raskraski-detskie-v-dorogu-nabor-6-sht-po-20-str-2/	С серией раскрасок для самых маленьких ребёнок познакомится с лесными зверьми, животными Африки, обитателями фермы, а также изучит и разрисует основные виды транспорта. Издания адаптированы специально для малышей, все элементы иллюстраций крупные, картинки простые и понятные.
Раскраска с заданиями, А4, 36 стр., MARVEL	Детские книги	156	5	https://www.sima-land.ru/10319891/raskraska-s-zadaniyami-a4-36-str-marvel/	Раскраска с заданиями «Марвел» — это увлекательный способ совместить раскрашивание и решение задач. 36 страниц формата А4 предлагают детям возможность погрузиться в мир супергероев Marvel, развивая воображение, внимание и навыки решения головоломок. Мягкая обложка делает книгу удобной для использования дома или на прогулке. Что внутри Ребёнок может раскрашивать изображения супергероев, а затем переходить к выполнению заданий на соседних страницах. Это помогает развивать логическое мышление, внимание к деталям и творческие способности. Каждая страница становится площадкой для экспериментов, где ребёнок учится решать задачи и создавать собственные истории. «Марвел» — это больше, чем обычная раскраска. Задания дополняют процесс раскрашивания, делая его ещё более увлекательным и полезным. Мягкая обложка защищает страницы, а компактный формат позволяет брать книгу с собой куда угодно. Подарите ребёнку раскраску с заданиями «Марвел», чтобы он мог совместить отдых и развитие. Это идеальный выбор для детей от 3 лет, которые любят фильмы и комиксы о супергероях и хотят проводить время с пользой.
Набор атласных лент, 5 шт., 6 мм, 23±1 м, жёлтый, оранжевый	Ленты	133	5	https://www.sima-land.ru/2611796/nabor-atlasnyh-lent-5-sht-6-mm-23-1-m-zheltyy-oranzhevyy/	Атласная лента гладкая и приятная на ощупь. Используйте её для отделки изделий, украшения подарков, в свадебном оформлении, а также в скрапбукинге и канзаши.  Желательна ручная стирка с использованием щадящих моющих средств при температуре не выше 40 °C.  Не рекомендуется гладить при температуре выше 110 °C.  В набор входят ленты с номерами цветов №16/17/25/81/161. 
Проволока для изготовления искусственных цветов "Зелёная" 40 см сечение 2,5 мм	Принадлежности для творчества	5.8	4.9	https://www.sima-land.ru/3740949/provoloka-dlya-izgotovleniya-iskusstvennyh-cvetov-zelenaya-40-cm-sechenie-2-5-mm/	
Альбом для рисования А4, 40 листов на скрепке "Дрифт", обложка мелованный картон, внутренний блок офсет 100 г/м²	Бумага и бумажная продукция	77	4.7	https://www.sima-land.ru/9422617/albom-dlya-risovaniya-a4-40-listov-na-skrepke-drift-oblozhka-melovannyy-karton-vnutrenniy-blok-ofset-100-g-m/	Альбом для рисования А4 - это не просто тетрадь для творчества, но и целый мир, который Вы можете создавать своими руками. Этот альбом станет вашим верным спутником в мире искусства, а также поможет воплотить самые смелые идеи и фантазии. Альбом - это незаменимая канцелярия, которая подойдёт как школьникам, любящим рисовать в больших объёмах на уроках и дома, так и взрослым, которые бывают не прочь отвлечься от ежедневной рутины и окунуться в мир творчества. Блок 100 г/м2. 
Кружево вязаное, 14 мм × 15 ± 1 м, цвет кипенно-белый	Отделочные материалы	438	4.8	https://www.sima-land.ru/1354157/kruzhevo-vyazanoe-14-mm-15-1-m-cvet-kipenno-belyy/	Вязаное кружево легко спутать с hand-made – рисунок у него сложный и выразительный.  Узоры, созданные из переплетения множества нитей, принимают нужную форму и красиво смотрятся на любом изделии. Вязаное кружево — отличный вариант для декора одежды и домашнего текстиля. А также если хотите дополнить аксессуар деталью, будто связанной крючком, такой вариант отлично подойдёт.
Раскраска детская «Сказочные герои», 12 стр.	Детские книги	35.9	5	https://www.sima-land.ru/1572804/raskraska-detskaya-skazochnye-geroi-12-str/	Дорога в мир творчества Увлекательная книжка-раскраска «Сказочные герои» создана специально для творческого развития малышей с раннего возраста.  Кроха с удовольствием будет раскрашивать интересные картинки, а образцы помогут ему правильно подобрать нужные цвета.  Особенности:  Развлекаемся с пользой  Раскрашивая, ребёнок не только учится уверенно держать карандаш в руке, но и развивает наблюдательность, мелкую моторику рук, воображение и художественный вкус.  Фантазируйте и добавляйте детали в рисунок, и у вас получатся настоящие шедевры!  Для детей от 3 лет. 
Коробка подарочная складная, упаковка, крышка - дно, с окном, крафт, 30×30×8 см	Подарочная упаковка	100	3.5	https://www.sima-land.ru/9702387/korobka-podarochnaya-skladnaya-upakovka-kryshka-dno-s-oknom-kraft-30-30-8-cm/	Коробка складная с окном - практичное и стильное решение для упаковки и представления товаров или подарков. Прозрачное окно добавляет возможность визуально оценить содержимое коробки, придавая ему дополнительную привлекательность. Эта коробка сочетает в себе функциональность и визуальное привлечение, делая товары или подарки более привлекательными для покупателей или получателей.
Лента атласная, 20 мм × 91±1 м, белая №01	Ленты	269	4.9	https://www.sima-land.ru/9791379/lenta-atlasnaya-20-mm-91-1-m-belaya-01/	Атласная лента гладкая и приятная на ощупь. Используйте её для отделки изделий, украшения подарков, в свадебном оформлении, а также в скрапбукинге и канзаши.  Не рекомендуется гладить при температуре выше 110 °C. 
Наклейки для цветов и подарков Handmade, 4.4×4.4 см, набор 252 шт.	Флористика	159	4.9	https://www.sima-land.ru/7437488/nakleyki-dlya-cvetov-i-podarkov-handmade-4-4-4-4-cm-nabor-252-sht/	Наклейка имеет хороший клеевой слой, что предотвращает случайное отклеивание от крафта. Наклейка будет не только украшением, но и маленьким приятным сюрпризом на упаковке для ваших покупателей.  Наклейки на вашу продукцию заметно поднимут ее привлекательность. Наклейки подойдут для оформления подарков, крафт изделий ручной работы и станут отличным решением для мастеров, которые хотят вывести свою крафтовую продукцию на новый уровень.  Наклейки можно использовать на мыло ручной работы, на шоколад ручной работы, на цветочные букеты, на крафт конверты, на крафт пакеты, на крафтовую бумагу, на крафт коробки, на декоративные конверты, на подарочные коробочки с печеньем, на подарок, для упаковки товаров.
Часовой механизм со стрелками "Соломон-1", плавный ход, шток 16 мм, стрелки 58/87/90 мм	Часы	95	4.7	https://www.sima-land.ru/163150/chasovoy-mehanizm-so-strelkami-solomon-1-plavnyy-hod-shtok-16-mm-strelki-58-87-90-mm/	Характеристики часового механизма: 
Заготовка - подвеска «Шар», раздельные части, диаметр собранного: 13.6 см	Принадлежности для творчества	209	5	https://www.sima-land.ru/3142066/zagotovka-podveska-shar-razdelnye-chasti-diametr-sobrannogo-13-6-cm/	Заготовка-подвеска «Шар» диаметром 13.6 см — универсальная основа для творчества, которая поможет создать уникальные украшения и сувениры. Эта пластиковая конструкция идеально подходит для новогоднего декора, креативных подарков и сувениров на память. Особенности Преимущества Варианты использования Эта заготовка станет идеальной базой для вашего вдохновения, делая подготовку к праздникам яркой и креативной!
Набор из спилов дерева «Сосновый», набор 40 шт, 4 вида спилов	Принадлежности для творчества	125	4.8	https://www.sima-land.ru/4429904/nabor-iz-spilov-dereva-sosnovyy-nabor-40-sht-4-vida-spilov/	
Метафорические ассоциативные карты «Аффирмации» и Книга Желаний, 50 карт (7х12 см), 16+	Психология и эзотерика	643	5	https://www.sima-land.ru/9714017/metaforicheskie-associativnye-karty-affirmacii-i-kniga-zhelaniy-50-kart-7h12-cm-16-plus/	Мы все мечтаем, и у каждого из нас есть заветные желания. Что-то исполняется сразу, а что-то на протяжении долгих лет остаётся недостижимым идеалом. Так почему же не сбываются желания? Почему одно приходит в нашу жизнь так просто, а другое никак не даётся в руки? Данный набор поможет научится правильно формулировать желания и овладеть техниками привлечения желаемого. Состав: И пусть желания исполнятся!
